1134687_Bacteria_34	UP000186372
1134687_Bacteria_34	UP000254313
1134687_Bacteria_34	UP000234667
1134687_Bacteria_34	UP000234661
1134687_Bacteria_34	UP000510608
1134687_Bacteria_34	UP000036305
1134687_Bacteria_34	UP000020202
113559_Bacteria_28	UP000590749
113562_Bacteria_28	UP000198688
113567_Bacteria_27	UP000239415
113568_Bacteria_37	UP000590511
1135990_Bacteria_28	UP000243084
1136497_Bacteria_28	UP000199597
113653_Archaea_85	UP000034723
113653_Archaea_85	UP000574223
113653_Archaea_85	UP000567995
113653_Archaea_85	UP000568426
1137799_Bacteria_25	UP000028073
1137988_Bacteria_28	UP000239210
1137989_Bacteria_28	UP000246661
1137989_Bacteria_28	UP000471126
1137991_Bacteria_28	UP000198680
1137993_Bacteria_28	UP000198921
1137994_Bacteria_28	UP000198386
1138194_Bacteria_30	UP000528824
1138585_Bacteria_28	UP000231693
114090_Bacteria_30	UP000051698
114155_Eukaryota_25	UP000292082
114155_Eukaryota_25	UP000292616
114155_Eukaryota_25	UP000292957
1141657_Bacteria_28	UP000031364
1141874_Bacteria_28	UP000272474
1141890_Bacteria_28	UP000219494
114249_Bacteria_50	UP000295536
114404_Bacteria_23	UP000241206
1144522_Eukaryota_34	UP000179807
1144548_Bacteria_28	UP000198707
1144553_Bacteria_28	UP000236732
1144618_Bacteria_28	UP000237846
1144750_Bacteria_28	UP000199559
114527_Bacteria_37	UP000237883
114529_Archaea_37	UP000465667
114529_Archaea_37	UP000619835
114686_Bacteria_28	UP000184286
114699_Bacteria_28	UP000476310
1147123_Bacteria_55	UP000190105
114742_Eukaryota_26	UP000054177
114880_Bacteria_37	UP000290876
114881_Bacteria_35	UP000290029
114885_Bacteria_37	UP000290243
114977_Bacteria_37	UP000054341
114_Bacteria_30	UP000245802
1150112_Bacteria_28	UP000243887
1150298_Bacteria_37	UP000095709
1150298_Bacteria_37	UP000095706
1150298_Bacteria_37	UP000095366
1150368_Bacteria_28	UP000182248
1153_Bacteria_22	UP000248727
1153_Bacteria_22	UP000249529
1153_Bacteria_22	UP000264786
115433_Bacteria_28	UP000199025
115553_Bacteria_29	UP000320231
115553_Bacteria_29	UP000252204
115555_Bacteria_29	UP000315884
115561_Bacteria_29	UP000502259
115561_Bacteria_29	UP000217920
1155689_Bacteria_25	UP000184462
1155722_Bacteria_30	UP000322545
1155944_Bacteria_28	UP000198660
1156395_Bacteria_60	UP000093080
1156395_Bacteria_60	UP000546774
1156985_Bacteria_25	UP000198767
1157490_Bacteria_37	UP000027931
115783_Bacteria_26	UP000190102
1157962_Eukaryota_20	UP000232323
1158459_Bacteria_29	UP000183569
115852_Bacteria_25	UP000308271
1159556_Eukaryota_26	UP000027002
1159556_Eukaryota_26	UP000054053
115979_Bacteria_30	UP000233375
1160091_Bacteria_37	UP000243657
1160091_Bacteria_37	UP000243540
1160095_Bacteria_37	UP000288669
116085_Bacteria_37	UP000261231
116085_Bacteria_37	UP000260773
116090_Bacteria_65	UP000464452
1160_Bacteria_20	UP000464949
1160_Bacteria_20	UP000464952
1160_Bacteria_21	UP000464949
1160_Bacteria_21	UP000464952
116188_Bacteria_26	UP000326598
116188_Bacteria_27	UP000326598
1162633_Bacteria_30	UP000515800
1162967_Bacteria_28	UP000228758
1162970_Bacteria_28	UP000317998
1165689_Bacteria_30	UP000198588
1165852_Bacteria_28	UP000246483
1166073_Bacteria_28	UP000198793
1166078_Bacteria_28	UP000531216
1166257_Bacteria_28	UP000233491
1168034_Bacteria_28	UP000023772
1168034_Bacteria_28	UP000181981
1168035_Bacteria_30	UP000184050
116849_Bacteria_26	UP000319627
117157_Bacteria_29	UP000198983
117187_Eukaryota_24	UP000252067
117187_Eukaryota_24	UP000253456
117187_Eukaryota_25	UP000252067
