25_498_Bacteria	UP000245655
25_5007_Eukaryota	UP000478008
25_502049_Bacteria	UP000252517
25_50376_Eukaryota	UP000316270
25_505353_Bacteria	UP000193207
25_5059_Eukaryota	UP000275480
25_5062_Eukaryota	UP000190312
25_50712_Bacteria	UP000323886
25_5078_Eukaryota	UP000070168
25_512643_Bacteria	UP000196485
25_5127_Eukaryota	UP000036287
25_5141_Eukaryota	UP000053122
25_5142_Eukaryota	UP000515261
25_515393_Bacteria	UP000076367
25_515489_Bacteria	UP000324853
25_52247_Eukaryota	UP000307173
25_523701_Bacteria	UP000245790
25_533325_Bacteria	UP000253436
25_5353_Eukaryota	UP000188533
25_5364_Eukaryota	UP000305948
25_547122_Bacteria	UP000252707
25_5481_Eukaryota	UP000449547
25_5518_Eukaryota	UP000219517
25_552518_Bacteria	UP000033774
25_553151_Bacteria	UP000243750
25_554283_Bacteria	UP000556700
25_554343_Bacteria	UP000051202
25_5544_Eukaryota	UP000034112
25_5580_Eukaryota	UP000306873
25_560405_Bacteria	UP000401717
25_563466_Eukaryota	UP000028545
25_5660_Eukaryota	UP000007258
25_5661_Eukaryota	UP000318447
25_5663_Eukaryota	UP000674179
25_5671_Eukaryota	UP000008153
25_568099_Bacteria	UP000282211
25_5684_Eukaryota	UP000038009
25_5698_Eukaryota	UP000283634
25_569860_Bacteria	UP000256900
25_57001_Bacteria	UP000549457
25_570281_Bacteria	UP000528457
25_573508_Eukaryota	UP000094569
25_5762_Eukaryota	UP000006671
25_579748_Bacteria	UP000033673
25_58291_Eukaryota	UP000242381
25_588602_Bacteria	UP000199630
25_589873_Bacteria	UP000056090
25_591205_Bacteria	UP000199344
25_59799_Eukaryota	UP000515908
25_60890_Bacteria	UP000092565
25_61186_Eukaryota	UP000326757
25_61420_Eukaryota	UP000326268
25_62322_Bacteria	UP000274546
25_641665_Bacteria	UP000199297
25_643671_Bacteria	UP000248790
25_647720_Bacteria	UP000295673
25_64971_Bacteria	UP000242999
25_651661_Bacteria	UP000190897
25_653929_Bacteria	UP000294616
25_657014_Bacteria	UP000198634
25_66821_Bacteria	UP000323483
25_670154_Bacteria	UP000199658
25_670155_Bacteria	UP000199441
